iter	Passed	Remaining
612	10951	7718
613	10970	7700
614	10988	7682
615	11007	7665
616	11025	7648
617	11042	7629
618	11059	7611
619	11077	7593
620	11094	7575
621	11111	7556
622	11129	7538
623	11146	7520
624	11162	7501
625	11180	7483
626	11197	7464
627	11213	7446
628	11231	7427
629	11249	7410
630	11266	7392
631	11285	7374
632	11302	7356
633	11319	7338
634	11338	7321
635	11357	7303
636	11373	7284
637	11390	7266
638	11408	7248
639	11425	7230
640	11443	7212
641	11460	7193
642	11477	7175
643	11494	7157
644	11512	7139
645	11530	7121
646	11548	7103
647	11567	7086
648	11585	7068
649	11602	7050
650	11621	7033
651	11639	7015
652	11655	6996
653	11674	6979
654	11691	6961
655	11708	6943
656	11727	6926
657	11746	6908
658	11763	6890
659	11782	6872
660	11799	6854
661	11815	6835
662	11833	6818
663	11852	6800
664	11870	6782
665	11887	6765
666	11905	6746
667	11923	6729
668	11941	6711
669	11959	6693
670	11976	6675
671	11995	6658
672	12013	6640
673	12031	6622
674	12049	6604
675	12067	6587
676	12084	6568
677	12101	6550
678	12119	6532
679	12137	6514
680	12156	6497
681	12174	6480
682	12192	6461
683	12208	6443
684	12225	6425
685	12244	6407
686	12262	6389
687	12280	6372
688	12298	6354
689	12315	6336
690	12333	6318
691	12352	6301
692	12370	6283
693	12388	6265
694	12405	6247
695	12422	6229
696	12439	6210
697	12457	6193
698	12475	6175
699	12493	6157
700	12510	6139
701	12528	6121
702	12548	6104
703	12565	6086
704	12584	6069
705	12601	6051
706	12619	6033
707	12637	6015
708	12655	5997
709	12673	5979
710	12691	5961
711	12708	5943
712	12726	5926
713	12745	5908
714	12763	5890
715	12781	5872
716	12799	5855
717	12816	5837
718	12833	5818
719	12850	5800
720	12867	5782
721	12885	5764
722	12903	5746
723	12921	5729
724	12940	5711
725	12959	5694
726	12977	5676
727	12995	5658
728	13013	5640
729	13030	5622
730	13046	5604
731	13063	5586
732	13080	5567
733	13097	5549
734	13115	5531
735	13132	5513
736	13152	5496
737	13171	5479
738	13190	5461
739	13208	5444
740	13225	5425
741	13243	5407
742	13261	5390
743	13278	5372
744	13295	5353
745	13313	5335
746	13330	5317
747	13348	5300
748	13365	5281
749	13382	5263
750	13399	5245
751	13417	5227
752	13436	5210
753	13453	5192
754	13470	5174
755	13489	5156
756	13506	5138
757	13523	5120
758	13540	5102
759	13557	5084
760	13574	5065
761	13591	5047
762	13610	5030
763	13625	5011
764	13642	4993
765	13660	4975
766	13678	4957
767	13696	4939
768	13714	4922
769	13734	4905
770	13753	4887
771	13770	4869
772	13788	4851
773	13805	4833
774	13824	4816
775	13841	4798
776	13857	4779
777	13875	4761
778	13892	4743
779	13909	4725
780	13928	4708
781	13946	4690
782	13964	4672
783	13982	4654
784	14000	4637
785	14018	4619
786	14035	4601
787	14051	4582
788	14069	4564
789	14086	4546
790	14103	4528
791	14120	4510
792	14137	4492
793	14155	4474
794	14172	4456
795	14190	4439
796	14208	4421
797	14225	4403
798	14244	4385
799	14262	4367
800	14276	4348
801	14294	4331
802	14312	4313
803	14332	4296
804	14350	4278
805	14367	4260
806	14384	4242
807	14401	4224
808	14419	4206
809	14436	4188
810	14454	4170
811	14471	4152
812	14489	4134
813	14507	4117
814	14526	4099
815	14544	4081
816	14562	4064
817	14581	4046
818	14598	4028
819	14615	4010
820	14633	3992
821	14650	3974
822	14668	3956
823	14685	3938
824	14703	3920
825	14722	3903
826	14740	3885
827	14758	3867
828	14773	3849
829	14787	3830
830	14801	3811
831	14818	3793
832	14832	3774
833	14856	3758
834	14880	3742
835	14904	3726
836	14927	3709
837	14951	3693
838	14974	3676
839	14993	3659
840	15012	3641
841	15028	3623
842	15046	3605
843	15062	3587
844	15079	3569
845	15097	3551
846	15114	3533
847	15128	3514
848	15146	3496
849	15164	3478
850	15181	3460
851	15199	3443
852	15216	3425
853	15235	3407
854	15253	3389
855	15271	3371
856	15289	3353
857	15307	3336
858	15324	3318
859	15341	3300
